POI-Scenic-List v1.3 update by 2020-06-05 Attribution: heweather.com,,,,,,,,,,,,
POI_ID,POI_Name_EN,景区名称,POI_Latitude,POI_Longitude,Country_code,Country_EN,国家名称,Location_ID,Adm1_EN,一级行政区划(Adm1),Adm2_EN,二级行政区划(Adm2)
10112120101A,Lancui Lake Resort,揽翠湖度假区,37.41,118.58,CN,China,中国,101121201,Shandong,山东,Dongying,东营
10122100105A,Ancient Town of Chengkan,呈坎,29.92,118.28,CN,China,中国,101221001,Anhui,安徽,Huangshan,黄山
10124010107A,Phoenix Ravine Scenic Attraction,凤凰沟风景区,28.36,116.01,CN,China,中国,101240101,Jiangxi,江西,Nanchang,南昌
10124030305A,Sixi Village and Yan Village,思溪延村景区,29.34,117.8,CN,China,中国,101240303,Jiangxi,江西,Shangrao,上饶
10129020104A,Chongsheng Temple and Three-pagoda Culture &Tourist Attraction,崇圣寺三塔文化旅游区,25.7,100.14,CN,China,中国,101290201,Yunnan,云南,Dali,大理
10129010103A,Ancient Town of Guandu,官渡古镇,24.95,102.75,CN,China,中国,101290101,Yunnan,云南,Kunming,昆明
10104330002A,Qijiang Gallery of Farmers’ Printmaking Woks,綦江农民版画院,29.04,106.6,CN,China,中国,101043300,Chongqing,重庆,Chongqing,重庆
10127070102A,Sichuan Museum of Song Dynasty Ceramics,四川宋瓷博物馆,30.52,105.55,CN,China,中国,101270701,Sichuan,四川,Suining,遂宁
10119010114A,Xuanwu Lake Park,玄武湖公园,32.07,118.79,CN,China,中国,101190101,Jiangsu,江苏,Nanjing,南京
10128030503A,Nankun Mountain Grand View Garden Hot Spring,南昆山温泉大观园,23.61,114.03,CN,China,中国,101280305,Guangdong,广东,Huizhou,惠州
10120040201A,Former Residence of Li Bai,李白故里,31.32,113.56,CN,China,中国,101200402,Hubei,湖北,Xiaogan,孝感
10129030303A,Swallow Cae,燕子洞,23.63,103.05,CN,China,中国,101290303,Yunnan,云南,Honghe,红河
10129140104A,Ancient Town of Lijiang,丽江古城,26.87,100.23,CN,China,中国,101291401,Yunnan,云南,Lijiang,丽江
10101070011A,Chinese Aviation Museum,中国航空博物馆,40.18,116.36,CN,China,中国,101010700,Beijing,北京,Beijing,北京
10111051001A,Ancestral Temple and Tomb of Sima Qian,汉太史司马迁祠墓,35.37,110.41,CN,China,中国,101110510,Shaanxi,陕西,Weinan,渭南
10109090102A,Grand Canyon Scenic Attraction of Canyon Group of Xingtai,邢台峡谷群地质公园大峡谷景区,37.13,113.82,CN,China,中国,101090901,Hebei,河北,Xingtai,邢台
10121090301A,Liudong Mountain Scenic Attraction,六洞山风景名胜区,29.2,119.53,CN,China,中国,101210903,Zhejiang,浙江,Jinhua,金华
10104010014A,No. 2 Gate of South Mountain Botanical Garden of Chongqing,重庆南山植物园,29.55,106.6,CN,China,中国,101040100,Chongqing,重庆,Chongqing,重庆
10112030602A,Lushan National Forest Park,鲁山国家森林公园,36.27,118.06,CN,China,中国,101120306,Shandong,山东,Zibo,淄博
10112020119A,Qingdao Seaside Scenery Zone,海滨风景区,36.06,120.38,CN,China,中国,101120201,Shandong,山东,Qingdao,青岛
10109100201A,Yuanbao Mountain Scenic Attraction,元宝山风景区,36.41,114.2,CN,China,中国,101091002,Hebei,河北,Handan,邯郸
10115010102A,Dongguan Grand Mosque of Xining City,西宁市东关清真大寺,36.61,101.79,CN,China,中国,101150101,Qinghai,青海,Xining,西宁
10128110102A,Guifeng Mountain Scenic Attraction,圭峰山风景区,22.54,113.02,CN,China,中国,101281101,Guangdong,广东,Jiangmen,江门
10102050004A,Jiading Zhouqiao Scenic Attraction,嘉定州桥,31.38,121.3,CN,China,中国,101020500,Shanghai,上海,Shanghai,上海
10104310001A,Furong River Scenic Attraction,芙蓉江景区,29.22,107.9,CN,China,中国,101043100,Chongqing,重庆,Chongqing,重庆
10112080101A,Culai Mountain National Forest Park,徂徕山国家森林公园,36.04,117.24,CN,China,中国,101120801,Shandong,山东,Taian,泰安
10121090502A,Hengdian Museum of Ming and Qing Folk Dwellings,横店明清民居博览城,29.14,120.32,CN,China,中国,101210905,Zhejiang,浙江,Jinhua,金华
10129160301A,Scenic Area of Mengjinglai,中缅第一寨勐景来景区,21.7,100.08,CN,China,中国,101291603,Yunnan,云南,Xishuangbanna,西双版纳
10101020009A,Fragrant Hills Park,香山公园,39.99,116.19,CN,China,中国,101010200,Beijing,北京,Beijing,北京
10122060803A,Mingtang Mountain Scenic Attraction,明堂山风景名胜区,30.86,116.08,CN,China,中国,101220608,Anhui,安徽,Anqing,安庆
10126030601A,Huangguoshu Waterfalls Scenic Attraction,黄果树瀑布景区,25.98,105.66,CN,China,中国,101260306,Guizhou,贵州,Anshun,安顺
10101120005A,Shenglian Mountain Scenic Attraction,圣莲山风景区,39.84,115.72,CN,China,中国,101011200,Beijing,北京,Beijing,北京
10127140803A,Emei Mountain Tourist Attraction,峨眉山旅游风景区,29.56,103.34,CN,China,中国,101271408,Sichuan,四川,Emei,峨眉
10110060602A,Qinglian Temple,青莲寺,35.45,112.99,CN,China,中国,101100606,Shanxi,山西,Jincheng,晋城
10127060602A,Longtan River Scenic Attraction,龙潭河风景区,31.82,108.25,CN,China,中国,101270606,Sichuan,四川,Dazhou,达州
10112150101A,Seaside Sunshine National Forest Park,日照海滨国家森林公园,35.53,119.62,CN,China,中国,101121501,Shandong,山东,Rizhao,日照
10125080201A,Memorial Hall of Cai Hesen,蔡和森纪念馆,27.45,112.2,CN,China,中国,101250802,Hunan,湖南,Loudi,娄底
10130080202A,West Mountain National Key Scenic Attraction,西山国家重点风景名胜区,23.39,110.05,CN,China,中国,101300802,Guangxi,广西,Guigang,贵港
10118060102A,Nanwan Lake Scenic Attraction,南湾湖风景旅游区,32.12,114,CN,China,中国,101180601,Henan,河南,Xinyang,信阳
10123090101A,Xiyuan Grand Gorge,溪源大峡谷,26.63,118.13,CN,China,中国,101230901,Fujian,福建,Nanping,南平
10119100104A,Kongwang Mountain Scenic Attraction,孔望山风景区,34.55,119.16,CN,China,中国,101191001,Jiangsu,江苏,Lianyungang,连云港
10105010114A,Sun Isalnd Scenic Attraction,太阳岛风景区,45.79,126.59,CN,China,中国,101050101,Heilongjiang,黑龙江,Haerbin,哈尔滨
10125040102A,Southern Gate of Huiyan Peak of Hengyang,衡阳市回雁峰景区南门,26.88,112.61,CN,China,中国,101250401,Hunan,湖南,Hengyang,衡阳
10117020301A,Jade Emperor Pavilion of Pingluo County,平罗玉皇阁,38.91,106.54,CN,China,中国,101170203,Ningxia,宁夏,Shizuishan,石嘴山
10114020501A,Mount Qomolangma National Nature Reserve,珠穆朗玛峰国家级自然保护区,28.94,87.44,CN,China,中国,101140205,Xizang,西藏,Rikaze,日喀则
10108010201A,Hasu Lake,哈素海,40.6,110.97,CN,China,中国,101080102,Neimenggu,内蒙古,Huhehaote,呼和浩特
10110010101A,Taiyuan Vinegar Garden,东湖醋园,37.87,112.59,CN,China,中国,101100101,Shanxi,山西,Taiyuan,太原
10108020104A,Northern Weaponry City,北方兵器城,40.68,109.87,CN,China,中国,101080201,Neimenggu,内蒙古,Baotou,包头
10122170501A,Penglai Karst Cave,蓬莱仙洞,30.23,117.54,CN,China,中国,101221705,Anhui,安徽,Chizhou,池州
10110040901A,Qiao’s Compound,乔家大院,37.4,112.44,CN,China,中国,101100409,Shanxi,山西,Jinzhong,晋中
10104070002A,Bijin Park,碧津公园,29.71,106.6,CN,China,中国,101040700,Chongqing,重庆,Chongqing,重庆
10123060802A,Tritonbay Saltwater Hotspring Resort,金汤湾南中国·海水温泉度假地,23.77,117.41,CN,China,中国,101230608,Fujian,福建,Zhangzhou,漳州
10101080004A,Ancient Cliff Dwellings Scenic Attraction of Beijing,北京市古崖居风景名胜区,40.46,115.77,CN,China,中国,101010800,Beijing,北京,Beijing,北京
10130050108A,Guilin Gudong Scenic Attraction,桂林古东景区,25.1,110.45,CN,China,中国,101300501,Guangxi,广西,Guilin,桂林
10130020501A,Detian Waterfall,德天瀑布,22.85,106.73,CN,China,中国,101300205,Guangxi,广西,Chongzuo,崇左
10112040401A,Dayan Island Ecological Park,大雁岛绿色生态园,37.41,116.39,CN,China,中国,101120404,Shandong,山东,Dezhou,德州
10104070007A,Tongjing Scenic Attraction,统景风景名胜区,29.85,106.8,CN,China,中国,101040700,Chongqing,重庆,Chongqing,重庆
10102010007A,Oriental Peal Radio & TV Tower,东方明珠塔,31.23,121.49,CN,China,中国,101020100,Shanghai,上海,Shanghai,上海
10123020106A,Riyuegu Hot Spring Park,日月谷温泉公园,24.55,117.94,CN,China,中国,101230201,Fujian,福建,Xiamen,厦门
10129040702A,Yunnan Nine Dragon Waterfalls Scenic Attraction,九龙瀑布群风景区,25,104.4,CN,China,中国,101290407,Yunnan,云南,Qujing,曲靖
10107130102A,Zhongxing Park,中兴公园,41.14,122.06,CN,China,中国,101071301,Liaoning,辽宁,Panjin,盘锦
10103040002A,Langju Hot Spring Valley,朗钜温泉谷,39.18,117.5,CN,China,中国,101030400,Tianjin,天津,Tianjin,天津
10119110106A,Asia Film & TV Town,亚细亚影视城,31.78,119.94,CN,China,中国,101191101,Jiangsu,江苏,Changzhou,常州
