POI-Air-Monitoring-Station-List-latest v2.0 update by 2020-06-03,,,,,,,,,,,,,,
POI_ID,POI_Name,POI_Latitude,POI_Longitude,POI_Type,Country_code,Country_EN,Country_CN,Location_ID,Location_Name_EN,Location_Name_CN,Adm2_EN,Adm2_CN,Adm1_EN,Adm1_CN
CNA1140,省农科院,45.6842,126.6206,AirMonitoringStation,CN,China,中国,101050115,Nangang,南岗,Haerbin,哈尔滨市,Heilongjiang,黑龙江省
CNA1141,普陀,31.238,121.4,AirMonitoringStation,CN,China,中国,101021500,Putuo,普陀,Shanghai,上海市,Shanghai,上海市
CNA1142,十五厂,31.2036,121.478,AirMonitoringStation,CN,China,中国,101021200,Xuhui,徐汇,Shanghai,上海市,Shanghai,上海市
CNA1143,虹口,31.3008,121.467,AirMonitoringStation,CN,China,中国,101021400,Jingan,静安,Shanghai,上海市,Shanghai,上海市
CNA1144,徐汇上师大,31.1654,121.412,AirMonitoringStation,CN,China,中国,101021200,Xuhui,徐汇,Shanghai,上海市,Shanghai,上海市
CNA1145,杨浦四漂,31.2659,121.536,AirMonitoringStation,CN,China,中国,101021700,Yangpu,杨浦,Shanghai,上海市,Shanghai,上海市
CNA1146,青浦淀山湖,31.0935,120.978,AirMonitoringStation,CN,China,中国,101020800,Qingpu,青浦,Shanghai,上海市,Shanghai,上海市
CNA1147,静安监测站,31.2261,121.425,AirMonitoringStation,CN,China,中国,101021300,Changning,长宁,Shanghai,上海市,Shanghai,上海市
CNA1148,浦东川沙,31.1907,121.703,AirMonitoringStation,CN,China,中国,101020600,Pudongxinqu,浦东新区,Shanghai,上海市,Shanghai,上海市
CNA1149,浦东新区监测站,31.2284,121.533,AirMonitoringStation,CN,China,中国,101021700,Yangpu,杨浦,Shanghai,上海市,Shanghai,上海市
CNA1150,浦东张江,31.2071,121.577,AirMonitoringStation,CN,China,中国,101020600,Pudongxinqu,浦东新区,Shanghai,上海市,Shanghai,上海市
CNA1151,迈皋桥,32.1083,118.803,AirMonitoringStation,CN,China,中国,101190112,Qixia,栖霞,Nanjing,南京市,Jiangsu,江苏省
CNA1152,草场门,32.0572,118.749,AirMonitoringStation,CN,China,中国,101190111,Gulou,鼓楼,Nanjing,南京市,Jiangsu,江苏省
CNA1153,山西路,32.0723,118.778,AirMonitoringStation,CN,China,中国,101190111,Gulou,鼓楼,Nanjing,南京市,Jiangsu,江苏省
CNA1154,中华门,32.0144,118.777,AirMonitoringStation,CN,China,中国,101190109,Qinhuai,秦淮,Nanjing,南京市,Jiangsu,江苏省
CNA1155,瑞金路,32.0314,118.803,AirMonitoringStation,CN,China,中国,101190109,Qinhuai,秦淮,Nanjing,南京市,Jiangsu,江苏省
CNA1156,玄武湖,32.0775,118.795,AirMonitoringStation,CN,China,中国,101190111,Gulou,鼓楼,Nanjing,南京市,Jiangsu,江苏省
CNA1157,浦口,32.0964,118.6414,AirMonitoringStation,CN,China,中国,101190107,Pukou,浦口,Nanjing,南京市,Jiangsu,江苏省
CNA1158,奥体中心,31.9996,118.7356,AirMonitoringStation,CN,China,中国,101190110,Jianye,建邺,Nanjing,南京市,Jiangsu,江苏省
CNA1159,仙林大学城,32.105,118.907,AirMonitoringStation,CN,China,中国,101190112,Qixia,栖霞,Nanjing,南京市,Jiangsu,江苏省
CNA1160,上方山,31.2472,120.561,AirMonitoringStation,CN,China,中国,101190405,Wuzhong,吴中,Suzhou,苏州市,Jiangsu,江苏省
CNA1161,南门,31.2864,120.628,AirMonitoringStation,CN,China,中国,101190405,Wuzhong,吴中,Suzhou,苏州市,Jiangsu,江苏省
CNA1162,彩香,31.3019,120.591,AirMonitoringStation,CN,China,中国,101190410,Gusu,姑苏,Suzhou,苏州市,Jiangsu,江苏省
CNA1163,轧钢厂,31.3264,120.596,AirMonitoringStation,CN,China,中国,101190410,Gusu,姑苏,Suzhou,苏州市,Jiangsu,江苏省
CNA1164,吴中区,31.2703,120.613,AirMonitoringStation,CN,China,中国,101190405,Wuzhong,吴中,Suzhou,苏州市,Jiangsu,江苏省
CNA1165,苏州新区,31.2994,120.543,AirMonitoringStation,CN,China,中国,101190406,Huqiu,虎丘,Suzhou,苏州市,Jiangsu,江苏省
CNA1166,苏州工业园区,31.3097,120.669,AirMonitoringStation,CN,China,中国,101190405,Wuzhong,吴中,Suzhou,苏州市,Jiangsu,江苏省
CNA1167,相城区,31.3708,120.641,AirMonitoringStation,CN,China,中国,101190409,Xiangcheng,相城,Suzhou,苏州市,Jiangsu,江苏省
CNA1168,南郊,31.96,120.913,AirMonitoringStation,CN,China,中国,101190505,Chongchuan,崇川,Nantong,南通市,Jiangsu,江苏省
CNA1169,虹桥,32.0005,120.86,AirMonitoringStation,CN,China,中国,101190505,Chongchuan,崇川,Nantong,南通市,Jiangsu,江苏省
