POI-Port-List-latest v1.0 update by 2020-12-12,,,,,,,,,,,,,,
POI_ID,POI_Name_EN,POI_Name_ZH,POI_Latitude,POI_Longitude,POI_Type,Country_code,Country_EN,Country_ZH,Location_Name_EN,Location_Name_ZH,Adm2_EN,Adm2_ZH,Adm1_EN,Adm1_ZH
P2932,shanbanzhou,舢舨洲,22.42333,113.79917,Port,CN,China,中国,Guangzhou,广州,,,Guangdong,广东
P2926,shenzhenjichang(youmatou),深圳机场,22.71667,113.66667,Port,CN,China,中国,Shenzhen,深圳,,,Guangdong,广东
P2299,nansha(shuiniutou),南沙,22.63333,113.8,Port,CN,China,中国,Guangzhou,广州,,,Guangdong,广东
P2474,haiqin,海沁,22.7461,113.5611,Port,CN,China,中国,Guangzhou,广州,,,Guangdong,广东
P2352,huangpu,黄埔,22.96667,113.53333,Port,CN,China,中国,Guangzhou,广州,,,Guangdong,广东
P2908,guangzhou,广州,23.09167,113.45833,Port,CN,China,中国,Guangzhou,广州,,,Guangdong,广东
P2945,beijie,北街,23.06667,113.26667,Port,CN,China,中国,Jiangmen,江门,,,Guangdong,广东
P2621,hengmen,横门,22.60388,113.11467,Port,CN,China,中国,Zhongshan,中山,,,Guangdong,广东
P2304,zhuhai(xiangzhou),珠海-香洲,22.575,113.51833,Port,CN,China,中国,Zhuhai,珠海,,,Guangdong,广东
P2801,zhuhai(jiuzhougang),珠海-九洲港,22.28333,113.58333,Port,CN,China,中国,Zhuhai,珠海,,,Guangdong,广东
P2943,aomen,澳门,22.2425,113.58362,Port,CN,China,中国,Zhuhai,珠海,,,Guangdong,广东
P2102,dongaodao,东澳岛,22.21797,113.55333,Port,CN,China,中国,Zhuhai,珠海,,,Guangdong,广东
P2751,dawanshan,大万山,22.01667,113.7,Port,CN,China,中国,Zhuhai,珠海,,,Guangdong,广东
P2587,denglongshan,灯笼山,21.93333,113.71667,Port,CN,China,中国,Zhongshan,中山,,,Guangdong,广东
P2619,sanzaodao,三灶岛,22.23333,113.4,Port,CN,China,中国,Zhuhai,珠海,,,Guangdong,广东
P2225,zhuhaigang,珠海港,22.03333,113.4,Port,CN,China,中国,Zhuhai,珠海,,,Guangdong,广东
P2563,hengshan,横山,21.94556,113.23111,Port,CN,China,中国,Jiangmen,江门,,,Guangdong,广东
P2835,jingan(baijiao),井岸,22.33333,113.18333,Port,CN,China,中国,Zhuhai,珠海,,,Guangdong,广东
P2357,shangchuandao(sanzhouwan),上川岛,22.21667,113.3,Port,CN,China,中国,Jiangmen,江门,,,Guangdong,广东
P2314,beijin,北津,21.75,112.76667,Port,CN,China,中国,Yangjiang,阳江,,,Guangdong,广东
P2709,hailingshandao(zhapo),海陵山岛,21.8,112.01667,Port,CN,China,中国,Yangjiang,阳江,,,Guangdong,广东
P2566,dianbai,电白,21.58333,111.81667,Port,CN,China,中国,Maoming,茂名,,,Guangdong,广东
P2537,bohe,博贺,21.5,111.26667,Port,CN,China,中国,Maoming,茂名,,,Guangdong,广东
P2967,xige,西葛,21.48333,111.23333,Port,CN,China,中国,Maoming,茂名,,,Guangdong,广东
P2585,maoshihua(shuidonggang),茂石化,21.4661,111.09694,Port,CN,China,中国,Maoming,茂名,,,Guangdong,广东
P2440,naozhoudao(beigang),硇洲岛,21.478333,111.07333,Port,CN,China,中国,Zhanjiang,湛江,,,Guangdong,广东
P2582,zhanjiang,湛江,20.9,110.55,Port,CN,China,中国,Zhanjiang,湛江,,,Guangdong,广东
P2769,xiagang,下港,21.16667,110.4,Port,CN,China,中国,Zhanjiang,湛江,,,Guangdong,广东
P2109,haian,海安,20.51667,110.53333,Port,CN,China,中国,Zhanjiang,湛江,,,Guangdong,广东
P2285,liusha,流沙,20.22833,110.12667,Port,CN,China,中国,Zhanjiang,湛江,,,Guangdong,广东
P2117,wushi,乌石,20.44639,109.99222,Port,CN,China,中国,Zhanjiang,湛江,,,Guangdong,广东
P2653,xiabo,下泊,20.55,109.83333,Port,CN,China,中国,Zhanjiang,湛江,,,Guangdong,广东
P2609,dongshadao(dongsha〖kg*2〗qundao),东沙岛,21.26667,109.76667,Port,CN,China,中国,Guangzhou,广州,,,Guangdong,广东
P2944,haikou(xiuying),海口,20.7,116.71667,Port,CN,China,中国,Haikou,海口,,,Hainan,海南
P2590,puqian,铺前,20.025,110.276665,Port,CN,China,中国,Wenchang,文昌,,,Hainan,海南
P2483,qinglan,清澜,20.03305,110.572,Port,CN,China,中国,Wenchang,文昌,,,Hainan,海南
P2664,boao,博鳌,19.563334,110.82166,Port,CN,China,中国,Qionghai,琼海,,,Hainan,海南
P2774,xincun,新村,19.19833,110.60667,Port,CN,China,中国,Lingshui,陵水,,,Hainan,海南
P2121,yalonggang,牙笼港,18.415,109.97055,Port,CN,China,中国,Sanya,三亚,,,Hainan,海南
P2429,sanya,三亚,18.22212,109.695,Port,CN,China,中国,Sanya,三亚,,,Hainan,海南
P2750,yinggehai,莺歌海,18.245167,109.4975,Port,CN,China,中国,Ledong,乐东,,,Hainan,海南
P2885,dongfang(basuo),东方,18.505,108.68833,Port,CN,China,中国,Dongfang,东方,,,Hainan,海南
P2575,yangpu,洋浦,19.10667,108.625,Port,CN,China,中国,Zhanzhou,儋州,,,Hainan,海南
P2539,xinying,新盈,19.73195,109.1875,Port,CN,China,中国,Lingao,临高,,,Hainan,海南
P2692,macungang,马村港,19.9,109.51667,Port,CN,China,中国,Chengmai,澄迈,,,Hainan,海南
P2620,yongxingdao(xisha〖kg*2〗qundao),永兴岛,19.95972,110.02388,Port,CN,China,中国,Sansha,三沙,,,Hainan,海南
P2149,shuangzijiao(nansha〖kg*4〗qundao),双子礁,16.83333,112.33333,Port,CN,China,中国,Sansha,三沙,,,Hainan,海南
P2428,yongshujiao(nansha〖kg*2〗qundao),永暑礁,11.45,114.31667,Port,CN,China,中国,Sansha,三沙,,,Hainan,海南
P2669,tieshangang(shitoubu),铁山港,21.58333,109.56667,Port,CN,China,中国,Beihai,北海,,,Guangxi,广西
P2864,weizhoudao,涠洲岛,21.01667,109.11667,Port,CN,China,中国,Beihai,北海,,,Guangxi,广西
P2462,beihai,北海,21.46667,109.05,Port,CN,China,中国,Beihai,北海,,,Guangxi,广西
P2659,longmen,龙门,21.75,108.55,Port,CN,China,中国,Qinzhou,钦州,,,Guangxi,广西
P2512,qisha,企沙,21.58333,108.48333,Port,CN,China,中国,Fangchenggang,防城港,,,Guangxi,广西
P2410,paotaijiao,炮台角,21.56667,108.38333,Port,CN,China,中国,Fangchenggang,防城港,,,Guangxi,广西
P2284,fangchenggang,防城港,21.6,108.33333,Port,CN,China,中国,Fangchenggang,防城港,,,Guangxi,广西
P2602,zhenzhugang,珍珠港,21.51667,108.21667,Port,CN,China,中国,Fangchenggang,防城港,,,Guangxi,广西
P2488,bailongwei,白龙尾,21.5,108.23333,Port,CN,China,中国,Fangchenggang,防城港,,,Guangxi,广西
P2827,diaoyudao,钓鱼岛,25.73333,123.46667,Port,CN,China,中国,Diaoyudao,钓鱼岛,,,Fujian,福建
P2533,zhongshaquandao-huangyandao,中沙群岛－黄岩岛,15.11667,117.85,Port,CN,China,中国,Sansha,三沙,,,Hainan,海南
P2843,d.p.r.k.-nampo,南浦,38.683334,125.4,Port,KP,North Korea,朝鲜,Nampho,南浦特别市,,,Nampho,南浦特别市
P2820,r.o.k.-inchon,仁川,37.466667,126.6,Port,KR,South Korea,大韩民国,Jung District,Jung District,,,Incheon,仁川廣域市
P2795,r.o.k.-gunsan,群山,35.983334,126.71667,Port,KR,South Korea,韩国,Gunsan,群山市,,,Jeollabuk-do,全罗北道
P2545,r.o.k.-jeju do(seogwi po),济州岛,33.233334,126.55,Port,KR,South Korea,韩国,Seogwipo,西归浦市,,,Jeju-do,济州特别自治道
P2674,r.o.k.-busan,釜山,35.1,129.03334,Port,KR,South Korea,大韩民国,Jung District,Jung District,,,Busan,釜山
P2673,japan-sasebo,佐世保,33.15,129.73334,Port,JP,Japan,日本,Sasebo,佐世保市,,,Nagasaki Prefecture,长崎县
P2290,japan-naha,那霸,26.216667,127.666664,Port,JP,Japan,日本,Naha-shi,那霸市,,,Okinawa,冲绳县
P2365,japan-simonoseki,下关,33.95,130.96666,Port,JP,Japan,日本,Shimonoseki,下关市,,,Yamaguchi Prefecture,山口县
P2839,japan-kure,吴,34.233334,132.55,Port,JP,Japan,日本,Kure,吴市,,,Hiroshima Prefecture,广岛县
P2374,japan-maizuru,舞鹤,35.483334,135.4,Port,JP,Japan,日本,Maizuru-shi,舞鹤市,,,Kyoto,京都府
P2940,japan-kobe,神户,34.683334,135.2,Port,JP,Japan,日本,Kobe-shi,神户市,,,Hyogo,兵库县
P2788,japan-yokohama,横滨,35.433334,139.66667,Port,JP,Japan,日本,Yokohama,横滨市,,,Kanagawa Prefecture,神奈川县
P2809,japan-kamaisi,釜石,39.266666,141.9,Port,JP,Japan,日本,Kamaishi-shi,釜石市,,,Iwate,岩手县
P2348,sakhalin-port korsakov(otomari ko),科尔萨科夫港,46.65,142.75,Port,RU,Russia,俄罗斯,Korsakov,科尔萨科夫,,,Sakhalin,萨哈林州
P2453,canada-prince rupert,鲁珀特王子港,54.316666,-130.33333,Port,CA,Canada,加拿大,Prince Rupert,鲁珀特王子港,,,British Columbia,不列颠哥伦比亚省
